"COMID","totco2g_m2_day","pred_total","totco2g_m2_day_fill","site_ID"
"24422913",45.7097636343784,75.3542709350586,45.7097636343784,"S01"
"24422975",205.482319748535,175.304733276367,205.482319748535,"S02"
"24423897",82.0543755483743,90.6280899047852,82.0543755483743,"S03"
"24423139",292.227911897211,235.860748291016,292.227911897211,"S04"
"24422835",74.6481726015155,96.1403427124023,74.6481726015155,"S08"
"24423157",54.9387466653552,59.7762603759766,54.9387466653552,"S10"
"24423001",257.931858061729,203.002975463867,257.931858061729,"S11"
"24422871",31.2510213979929,32.8545951843262,31.2510213979929,"S12"
"24125883",53.9842024647855,72.3958053588867,53.9842024647855,"S13"
"24125945",53.3666186225658,74.6898651123047,53.3666186225658,"S14"
"24126041",15.8326672614584,17.802131652832,15.8326672614584,"S15"
"24126011",90.376258856753,63.6887626647949,90.376258856753,"S16"
"24125999",173.005084934699,165.507583618164,173.005084934699,"S17"
"24125873",272.905845164522,235.967102050781,272.905845164522,"S18"
"24126059",141.207782742132,164.501876831055,141.207782742132,"S21"
"24125769",172.310490859382,170.876235961914,172.310490859382,"S22"
"24125789",168.386057362254,163.174575805664,168.386057362254,"S23"
"24125857",NA,143.680267333984,143.680267333984,"S24"
"24126251",77.3309246582933,76.7208709716797,77.3309246582933,"S29"
"23100392",3.23545685190751,4.85261678695679,3.23545685190751,"S30"
"23100338",3.03100596429362,3.82175159454346,3.03100596429362,"S31"
"23100328",1.21684247201356,3.2793664932251,1.21684247201356,"S32"
"23099694",0.094189951188687,4.00956010818481,0.094189951188687,"S33"
"23100242",0.00890885253985884,2.02707600593567,0.00890885253985884,"S34"
"23099678",0.0939282736330337,5.15437030792236,0.0939282736330337,"S35"
"23100020",0.171010371208635,1.62658751010895,0.171010371208635,"S36"
"23100428",4.34735002545146,4.11813497543335,4.34735002545146,"S37"
"23105314",3.59354586613067,2.69320750236511,3.59354586613067,"S38"
"23100434",3.62324184781177,6.96546220779419,3.62324184781177,"S39"
"23100408",4.41614478098181,2.36680960655212,4.41614478098181,"S40"
"23100176",32.6395781799209,17.3972034454346,32.6395781799209,"S41"
"23103496",3.22232342299442,2.83422064781189,3.22232342299442,"S42"
"23100162",1.89069611717902,9.38683414459229,1.89069611717902,"S43"
"23100192",12.9298614903143,18.320068359375,12.9298614903143,"S44"
"24423421",14.4488199217742,38.7050628662109,14.4488199217742,"S45"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"S46"
"24423359",69.6402501611657,55.7411117553711,69.6402501611657,"S47"
"24423325",28.9340939937552,20.7634544372559,28.9340939937552,"S48"
"24423655",9.03532271904117,11.5270690917969,9.03532271904117,"S49"
"24125037",1.64294597160098,9.82078647613525,1.64294597160098,"S50"
"24422713",218.260552741979,233.124298095703,218.260552741979,"S50P"
"24423233",47.7217784592623,61.3824615478516,47.7217784592623,"S51"
"24423623",12.4744633532507,15.0633745193481,12.4744633532507,"S52"
"24424869",47.7540356372758,38.1863822937012,47.7540356372758,"S53"
"24423243",59.0191894334275,69.7631149291992,59.0191894334275,"S54"
"24423517",5.9184457868625,16.7297859191895,5.9184457868625,"S55"
"24423479",4.2993384544407,7.84749364852905,4.2993384544407,"S56"
"23099864",41.1583283350617,34.4091682434082,41.1583283350617,"S57"
"24425515",57.3127782673273,59.5621223449707,57.3127782673273,"S58"
"24422873",19.6893170991497,26.2437629699707,19.6893170991497,"S61"
"24423847",12.8282742444391,12.8063640594482,12.8282742444391,"S62"
"23100404",10.3451727366687,9.93383407592773,10.3451727366687,"S63"
"23100608",2.9908723028942,2.9085521697998,2.9908723028942,"S63P"
"23100200",11.5292052768988,8.90474224090576,11.5292052768988,"S64"
"24424705",3.67037704741481,2.43421053886414,3.67037704741481,"S65"
"24423741",75.8038595622212,63.8395156860352,75.8038595622212,"S66"
"23099678",0.0939282736330337,5.15437030792236,0.0939282736330337,"T02"
"23099844",1.26840497386996,13.3880186080933,1.26840497386996,"T03"
"24425579",63.9700911390966,55.2505531311035,63.9700911390966,"T05"
"24422823",148.439328873439,160.74446105957,148.439328873439,"T05P"
"24422913",45.7097636343784,75.3542709350586,45.7097636343784,"T06"
"947030105",NA,4.48833751678467,4.48833751678467,"T07"
"24425579",63.9700911390966,55.2505531311035,63.9700911390966,"T41"
"24425579",63.9700911390966,55.2505531311035,63.9700911390966,"T42"
"24125883",53.9842024647855,72.3958053588867,53.9842024647855,"S13R"
"24125999",173.005084934699,165.507583618164,173.005084934699,"S17R"
"24125873",272.905845164522,235.967102050781,272.905845164522,"S18R"
"24125729",31.9883213854795,49.4180603027344,31.9883213854795,"S19"
"24125633",104.732284809653,153.934188842773,104.732284809653,"S19E"
"24125811",138.241062727655,154.027862548828,138.241062727655,"S20R"
"24126061",207.131531099097,182.077514648438,207.131531099097,"S21R"
"24125859",186.718767651912,137.149185180664,186.718767651912,"S24R"
"24125699",12.425251760806,37.5192565917969,12.425251760806,"S25"
"947030170",NA,180.301177978516,180.301177978516,"S26R"
"24126823",9.41879066775015,16.9982261657715,9.41879066775015,"S27R"
"24131037",NA,97.2342300415039,97.2342300415039,"S28R"
"24131041",NA,250.103103637695,250.103103637695,"S28RE"
"24126251",77.3309246582933,76.7208709716797,77.3309246582933,"S29R"
"23100398",7.03828190456214,6.7320876121521,7.03828190456214,"S30R"
"24423233",47.7217784592623,61.3824615478516,47.7217784592623,"S49R"
"24125193",33.0725668520352,38.9109764099121,33.0725668520352,"S67"
"24126401",29.3998287657573,12.9619226455688,29.3998287657573,"S68"
"24126327",68.422866613304,69.1337051391602,68.422866613304,"S71"
"24126315",94.2534009339708,78.5256271362305,94.2534009339708,"S72"
"24125421",37.1056361400434,49.1766128540039,37.1056361400434,"S73"
"24131135",7.57562229343306,37.1856498718262,7.57562229343306,"S75"
"24423479",4.2993384544407,7.84749364852905,4.2993384544407,"S77"
"24125115",51.7106688954767,32.0394248962402,51.7106688954767,"S79"
"23099884",0.442687024108753,6.64579439163208,0.442687024108753,"S82"
"24126203",28.9876054665456,32.5048637390137,28.9876054665456,"S83"
"24126509",33.4049928836587,35.6716003417969,33.4049928836587,"W10"
"24126487",138.293325465742,89.913215637207,138.293325465742,"W20"
"24126441",NA,10.6091146469116,10.6091146469116,"U10"
"24126427",4.91604868895986,3.45586538314819,4.91604868895986,"U20"
"24126399",NA,116.500122070312,116.500122070312,"U21"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"C11"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"C10"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"C21"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"Ct20"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"Ct21"
"24423347",18.9557368383353,21.34010887146,18.9557368383353,"C20"
"24423879",7.17755968824131,7.7784538269043,7.17755968824131,"J21"
"24125193",33.0725668520352,38.9109764099121,33.0725668520352,"U23"
"24126441",NA,10.6091146469116,10.6091146469116,"U22"
